,sepal_length,sepal_width,petal_length,petal_width,species,calc_col
0,5.1,3.5,1.4,0.2,setosa,0.27999999999999997
1,4.9,3.0,1.4,0.2,setosa,0.27999999999999997
2,4.7,3.2,1.3,0.2,setosa,0.26
3,4.6,3.1,1.5,0.2,setosa,0.30000000000000004
4,5.0,3.6,1.4,0.2,setosa,0.27999999999999997
5,5.4,3.9,1.7,0.4,setosa,0.68
6,4.6,3.4,1.4,0.3,setosa,0.42
7,5.0,3.4,1.5,0.2,setosa,0.30000000000000004
8,4.4,2.9,1.4,0.2,setosa,0.27999999999999997
9,4.9,3.1,1.5,0.1,setosa,0.15000000000000002
10,5.4,3.7,1.5,0.2,setosa,0.30000000000000004
11,4.8,3.4,1.6,0.2,setosa,0.32000000000000006
12,4.8,3.0,1.4,0.1,setosa,0.13999999999999999
13,4.3,3.0,1.1,0.1,setosa,0.11000000000000001
14,5.8,4.0,1.2,0.2,setosa,0.24
15,5.7,4.4,1.5,0.4,setosa,0.6000000000000001
16,5.4,3.9,1.3,0.4,setosa,0.52
17,5.1,3.5,1.4,0.3,setosa,0.42
18,5.7,3.8,1.7,0.3,setosa,0.51
19,5.1,3.8,1.5,0.3,setosa,0.44999999999999996
20,5.4,3.4,1.7,0.2,setosa,0.34
21,5.1,3.7,1.5,0.4,setosa,0.6000000000000001
22,4.6,3.6,1.0,0.2,setosa,0.2
23,5.1,3.3,1.7,0.5,setosa,0.85
24,4.8,3.4,1.9,0.2,setosa,0.38
25,5.0,3.0,1.6,0.2,setosa,0.32000000000000006
26,5.0,3.4,1.6,0.4,setosa,0.6400000000000001
27,5.2,3.5,1.5,0.2,setosa,0.30000000000000004
28,5.2,3.4,1.4,0.2,setosa,0.27999999999999997
29,4.7,3.2,1.6,0.2,setosa,0.32000000000000006
30,4.8,3.1,1.6,0.2,setosa,0.32000000000000006
31,5.4,3.4,1.5,0.4,setosa,0.6000000000000001
32,5.2,4.1,1.5,0.1,setosa,0.15000000000000002
33,5.5,4.2,1.4,0.2,setosa,0.27999999999999997
34,4.9,3.1,1.5,0.2,setosa,0.30000000000000004
35,5.0,3.2,1.2,0.2,setosa,0.24
36,5.5,3.5,1.3,0.2,setosa,0.26
37,4.9,3.6,1.4,0.1,setosa,0.13999999999999999
38,4.4,3.0,1.3,0.2,setosa,0.26
39,5.1,3.4,1.5,0.2,setosa,0.30000000000000004
40,5.0,3.5,1.3,0.3,setosa,0.39
41,4.5,2.3,1.3,0.3,setosa,0.39
42,4.4,3.2,1.3,0.2,setosa,0.26
43,5.0,3.5,1.6,0.6,setosa,0.96
44,5.1,3.8,1.9,0.4,setosa,0.76
45,4.8,3.0,1.4,0.3,setosa,0.42
46,5.1,3.8,1.6,0.2,setosa,0.32000000000000006
47,4.6,3.2,1.4,0.2,setosa,0.27999999999999997
48,5.3,3.7,1.5,0.2,setosa,0.30000000000000004
49,5.0,3.3,1.4,0.2,setosa,0.27999999999999997
50,7.0,3.2,4.7,1.4,versicolor,6.58
51,6.4,3.2,4.5,1.5,versicolor,6.75
52,6.9,3.1,4.9,1.5,versicolor,7.3500000000000005
53,5.5,2.3,4.0,1.3,versicolor,5.2
54,6.5,2.8,4.6,1.5,versicolor,6.8999999999999995
55,5.7,2.8,4.5,1.3,versicolor,5.8500000000000005
56,6.3,3.3,4.7,1.6,versicolor,7.5200000000000005
57,4.9,2.4,3.3,1.0,versicolor,3.3
58,6.6,2.9,4.6,1.3,versicolor,5.9799999999999995
59,5.2,2.7,3.9,1.4,versicolor,5.46
60,5.0,2.0,3.5,1.0,versicolor,3.5
61,5.9,3.0,4.2,1.5,versicolor,6.300000000000001
62,6.0,2.2,4.0,1.0,versicolor,4.0
63,6.1,2.9,4.7,1.4,versicolor,6.58
64,5.6,2.9,3.6,1.3,versicolor,4.680000000000001
65,6.7,3.1,4.4,1.4,versicolor,6.16
66,5.6,3.0,4.5,1.5,versicolor,6.75
67,5.8,2.7,4.1,1.0,versicolor,4.1
68,6.2,2.2,4.5,1.5,versicolor,6.75
69,5.6,2.5,3.9,1.1,versicolor,4.29
70,5.9,3.2,4.8,1.8,versicolor,8.64
71,6.1,2.8,4.0,1.3,versicolor,5.2
72,6.3,2.5,4.9,1.5,versicolor,7.3500000000000005
73,6.1,2.8,4.7,1.2,versicolor,5.64
74,6.4,2.9,4.3,1.3,versicolor,5.59
75,6.6,3.0,4.4,1.4,versicolor,6.16
76,6.8,2.8,4.8,1.4,versicolor,6.72
